Date,Route,Rating,Notes,URL,Pitches,Location,"Avg Stars","Your Stars",Style,"Lead Style","Route Type","Your Rating",Length,"Rating Code"
2026-01-19,"Snott Girlz",5.10+,"Started before the sun hit the wall so I took on P1 to get the feeling back into my fingers. P1 & 2 are good, but the rest is pretty chossy with uninspiring climbing. No idea why it has the rep it does! It’s no Lisa’s Pizzas",https://www.mountainproject.com/route/106115483/snott-girlz,5,"International > North America > Mexico > Nuevo Leon > El Potrero Chico > Mota Wall",3.5,1,Lead,Fell/Hung,Sport,,450,3300
2025-04-16,Crescendo,5.10a,"TRd to a few moves below the crux then led the rest w/ Yav",https://www.mountainproject.com/route/112197296/crescendo,1,"West Virginia > Eastern WV > Nelson Rocks > West Face, East Fin > Crescendo Wall",3.5,4,TR,,Trad,,120,2600
2025-04-14,Crescendo,5.10a,"LRS w/ Revo. Only three pitches because I cleaned the money pitch on rappel. So stoked to get the send solo!",https://www.mountainproject.com/route/112197296/crescendo,3,"West Virginia > Eastern WV > Nelson Rocks > West Face, East Fin > Crescendo Wall",3.5,4,Lead,Redpoint,Trad,,120,2600
2025-04-11,"Skyline Traverse",5.3,"Just pitch 1 with Kim to go on a booty run",https://www.mountainproject.com/route/105917259/skyline-traverse,1,"West Virginia > Seneca Rocks > South Peak - East Face > Southeast Corner",2.9,-1,Lead,Redpoint,Trad,,,1300
2025-04-09,Crescendo,5.10a,"Redpointed the money pitch once, TRd it again, then TRd the first pitch in approach shoes to get my bag that I forgot :|",https://www.mountainproject.com/route/112197296/crescendo,3,"West Virginia > Eastern WV > Nelson Rocks > West Face, East Fin > Crescendo Wall",3.5,4,Lead,Redpoint,Trad,,120,2600
2025-04-05,"The Threat",5.12b,"Followed New Tom. Tough line!",https://www.mountainproject.com/route/106282065/the-threat,1,"West Virginia > Seneca Rocks > The Cave",3.3,-1,Follow,,Sport,,70,6900
2025-04-05,Predator,5.12a,"Bolt to bolted it, but it doesn't feel quite so bad still",https://www.mountainproject.com/route/106282059/predator,1,"West Virginia > Seneca Rocks > The Cave",3.0,-1,Lead,Fell/Hung,Sport,,45,6600
2025-04-01,"5.11a sport",5.11a,"Grizzly Adams at nrocks. Hung a couple times but I think it&#39;ll go without too much projecting!",https://www.mountainproject.com/route/112166325/511a-sport,1,"* In Progress > Generic Area",2.9,-1,Lead,Fell/Hung,Sport,,,4600
2025-04-01,"5.10a sport",5.10a,"Lifers at nrocks",https://www.mountainproject.com/route/112166313/510a-sport,1,"* In Progress > Generic Area",2.6,-1,Lead,Redpoint,Sport,,,2600
2025-04-01,"5.10b sport",5.10b,"Dominion at nrocks. Fell on the second to last bolt, was kinda pumped out from earlier!",https://www.mountainproject.com/route/112166299/510b-sport,1,"* In Progress > Generic Area",2.8,-1,Lead,Fell/Hung,Sport,,,2900
2025-04-01,Crescendo,5.10a,"Clean TR",https://www.mountainproject.com/route/112197296/crescendo,1,"West Virginia > Eastern WV > Nelson Rocks > West Face, East Fin > Crescendo Wall",3.5,4,TR,,Trad,,120,2600
2025-03-28,"5.10c trad",5.10c,"A hard finger crack corner near the summit at NRocks. Probably already climbed but I can&#39;t find info on it anywhere",https://www.mountainproject.com/route/112169061/510c-trad,1,"* In Progress > Generic Area",3.1,-1,Lead,Fell/Hung,Trad,,,3200
2025-03-25,"5.10 b/c trad",5.10b/c,"The Petting Zoo at NRocks. Fun line!",https://www.mountainproject.com/route/124655952/510-bc-trad,1,"* In Progress > Generic Area",2.7,-1,Lead,Onsight,Trad,,,3100
2025-03-25,"5.10a trad",5.10a,"I think I did an easier version of The Wax Museum at NRocks. Get into the finger cracks earlier next time!",https://www.mountainproject.com/route/112169053/510a-trad,1,"* In Progress > Generic Area",2.7,-1,Lead,Onsight,Trad,,,2600
2025-03-25,"5.10a trad",5.10a,"Ed&#39;s Fudge Shop at NRocks. One extra lap on TR",https://www.mountainproject.com/route/112169053/510a-trad,2,"* In Progress > Generic Area",2.7,-1,Lead,Onsight,Trad,,,2600
2025-03-22,"Cast of Thousands",5.10a,"TR solo laps",https://www.mountainproject.com/route/107746890/cast-of-thousands,5,"West Virginia > Seneca Rocks > South Peak - West Face > South Peak West Face (Main Area)",2.4,-1,TR,,Trad,,200,2600
2025-03-19,"Worrell's Thicket",5.0,"Resin run!",https://www.mountainproject.com/route/110726960/worrells-thicket,2,"West Virginia > Seneca Rocks > South Peak - East Face > Southeast Corner",2.0,-1,Solo,,Trad,,160,1000
2025-03-18,"West Pole",5.7+,"LRS w/ Revo, +1 pitch to clean and +1 scramble approach pitch. Woo!!",https://www.mountainproject.com/route/105868530/west-pole,3,"West Virginia > Seneca Rocks > South Peak - West Face > South Peak West Face (Main Area)",3.7,-1,Lead,Redpoint,Trad,,220,1900
2025-03-08,"Devil in the White House",5.10c/d,,https://www.mountainproject.com/route/106955638/devil-in-the-white-house,1,"North Carolina > 3. Piedmont Region > Pilot Mountain > 10. Devil in the White House",3.2,-1,Lead,Redpoint,Sport,,60,3400
2025-03-08,Silhouette,5.9,"Pretty fun adventurey sport climb!",https://www.mountainproject.com/route/122418415/silhouette,1,"North Carolina > 3. Piedmont Region > Pilot Mountain > 11.  Fear of Flying",2.7,-1,Lead,Onsight,Sport,,85,2400
2025-03-08,"Man Overboard",5.10c,"Still schweet",https://www.mountainproject.com/route/108296164/man-overboard,1,"North Carolina > 3. Piedmont Region > Pilot Mountain > 12. Big Arete",2.5,-1,Lead,Redpoint,Sport,,70,3200
2025-02-06,Kakaroots,5.9,"W/ Kim. Started at ~6:30 just before sunset and got back to the base at 9",https://www.mountainproject.com/route/200408777/kakaroots,3,"International > South America > Brazil > Rio de Janeiro > Cantagalo",3.0,4,Lead,Redpoint,Sport,5.9,250,2400
2025-02-02,Costao,5.7,"With Kim. A very curious marmoset trying to sneak into our bag for a sammie",https://www.mountainproject.com/route/107546351/costao,1,"International > South America > Brazil > Rio de Janeiro > Urca (Pao de Acucar area) > Pao de Acucar (Sugarloaf)",3.1,-1,Lead,Redpoint,Sport,,1000,1800
2025-02-02,Coringa,5.6,"With Kim for her first ever climb! Legendary. Suuuuper hot for the first two pitches though ",https://www.mountainproject.com/route/107546334/coringa,4,"International > South America > Brazil > Rio de Janeiro > Urca (Pao de Acucar area) > Pao de Acucar (Sugarloaf)",2.9,-1,Lead,Redpoint,Sport,,330,1600
2025-02-01,"Ovos Na Chapa",5.9,"Led P1, followed P2 w/ Henrique. Got spooked by gathering clouds so we skipped town. Weirdly felt most sketched out on this climb out of all my climbing on this trip so far! Damn friction slab, man",https://www.mountainproject.com/route/200446767/ovos-na-chapa,2,"International > South America > Brazil > Rio de Janeiro > Morro Dona Marta",3.0,3,Lead,Onsight,Trad,5.9,735,2400
