Date,Route,Rating,Notes,URL,Pitches,Location,"Avg Stars","Your Stars",Style,"Lead Style","Route Type","Your Rating",Length,"Rating Code"
2025-11-15,"Tori’s Song",5.9+,,https://www.mountainproject.com/route/123225424/toris-song,1,"Colorado > Boulder > Upper Dream Canyon > Oceanic Wall",2.0,-1,,,Sport,,60,2500
2025-11-15,"The Urchin",5.9-,,https://www.mountainproject.com/route/113178586/the-urchin,1,"Colorado > Boulder > Upper Dream Canyon > Oceanic Wall",2.3,-1,Follow,,Sport,,70,2300
2024-09-20,"Blitzen Ridge",5.4,"W/Jason. Not exact date",https://www.mountainproject.com/route/105754804/blitzen-ridge,1,"Colorado > Alpine Rock > RMNP - Rock > Ypsilon Mountain",3.5,-1,Solo,,"Trad, Alpine",,,1400
2024-07-20,"The White Raven",5.11a/b,"With Jason.",https://www.mountainproject.com/route/114547132/the-white-raven,4,"Colorado > Estes Park Valley > CO Hwy 7 & Tributaries > The Crags > Lower Great Face > C. Wizard's Gate",3.7,-1,Follow,,Sport,,430,4800
2024-07-13,"Wild Raspberry",5.8-,,https://www.mountainproject.com/route/122562209/wild-raspberry,4,"Colorado > Estes Park Valley > CO Hwy 7 & Tributaries > The Crags > Lower Great Face > D. Right of Wizard's Gate",2.8,-1,Follow,,Trad,,470,2000
2024-04-24,"Mojo Rising",5.9,,https://www.mountainproject.com/route/105750094/mojo-rising,1,"Colorado > Boulder > Boulder Canyon > Elephant Buttresses > Third Buttress",2.4,-1,Lead,Fell/Hung,Trad,,,2400
2024-03-24,"Dragon's Tail Couloir","WI1 M1 Mod. Snow","Climbed to rocks high on climber&#39;s left wing then skied!",https://www.mountainproject.com/route/105747512/dragons-tail-couloir,1,"Colorado > CO Ice & Mixed > RMNP - Mixed/Ice > Bear Lake Trailheads > Emerald Lake / Tyndall Gorge > Flattop Mountain - S side",3.3,-1,Solo,,"Trad, Mixed, Ice, Snow, Alpine",,,30000
2024-02-25,Vertigo,5.11b,"Led p2. Struggled to follow 3 and 4 but pulled through. Definitely want to come back to this one!",https://www.mountainproject.com/route/105748771/vertigo,4,"Colorado > Boulder > Eldorado Canyon State Park > Redgarden Wall > Redgarden - Tower One",3.8,-1,Follow,,Trad,,,4900
2024-02-24,"Full Recovery",WI2-3,,https://www.mountainproject.com/route/110019183/full-recovery,1,"Colorado > CO Ice & Mixed > RMNP - Mixed/Ice > Glacier Gorge Trailhead Ice > Glacier Gorge > Thatchtop Mt (SE aspect)",1.5,-1,Lead,Onsight,"Trad, TR, Ice, Alpine",,160,31500
2024-02-18,"The Yellow Spur",5.9+,"Odd pitch leads, swinging with Jason",https://www.mountainproject.com/route/105748657/the-yellow-spur,5,"Colorado > Boulder > Eldorado Canyon State Park > Redgarden Wall > Redgarden - Tower One",3.7,-1,Lead,Flash,Trad,,,2500
2024-02-17,"Mr. Natural",5.8+,,https://www.mountainproject.com/route/105749290/mr-natural,1,"Colorado > Boulder > Eldorado Canyon State Park > Redgarden Wall > Redgarden - Below Lower Ramp",2.5,-1,Lead,Flash,Trad,,70,2200
2024-01-27,"Jaws Falls",WI4,,https://www.mountainproject.com/route/105747419/jaws-falls,2,"Colorado > CO Ice & Mixed > RMNP - Mixed/Ice > Moraine Park/Fern Lake Trailhead",3.5,-1,Lead,Onsight,"Trad, Ice",,160,33000
2024-01-14,"Hidden Falls (main)",WI4-,,https://www.mountainproject.com/route/105747199/hidden-falls-main,1,"Colorado > CO Ice & Mixed > RMNP - Mixed/Ice > Wild Basin > Hidden Falls",2.7,-1,Lead,Flash,"Trad, TR, Ice",,90,32750
2024-01-07,Rewritten,5.7,,https://www.mountainproject.com/route/105750106/rewritten,6,"Colorado > Boulder > Eldorado Canyon State Park > Redgarden Wall > Redgarden - Lumpe to the top",3.7,-1,Lead,Onsight,Trad,,650,1800
2023-12-02,"Moffat Right Column",WI4+,,https://www.mountainproject.com/route/125432521/moffat-right-column,1,"Colorado > CO Ice & Mixed > Moffatt Tunnel > North-facing Wall",2.5,-1,TR,,"Trad, Ice",,25,33250
2023-12-02,"Moffat Left Column",WI4+,,https://www.mountainproject.com/route/108620280/moffat-left-column,1,"Colorado > CO Ice & Mixed > Moffatt Tunnel > North-facing Wall",3.1,-1,TR,,"Trad, Ice",,30,33250
2023-10-15,"Stolen Land",5.11c,,https://www.mountainproject.com/route/105756097/stolen-land,1,"Colorado > Estes Park Valley > Big Thompson Canyon > The Monastery > The Vestibule",3.3,-1,Lead,Flash,Sport,,,5200
2023-10-14,"Tabula Rasa",5.10d,,https://www.mountainproject.com/route/105756052/tabula-rasa,1,"Colorado > Estes Park Valley > Big Thompson Canyon > The Monastery > The Vestibule",3.6,-1,Lead,Flash,Sport,,,3500
2023-10-08,"Tabula Rasa",5.10d,,https://www.mountainproject.com/route/105756052/tabula-rasa,1,"Colorado > Estes Park Valley > Big Thompson Canyon > The Monastery > The Vestibule",3.6,-1,Lead,Redpoint,Sport,,,3500
2023-10-08,Jagermeister,5.9-,,https://www.mountainproject.com/route/112086738/jagermeister,1,"Colorado > Estes Park Valley > Big Thompson Canyon > The Monastery > The Vestibule",2.0,-1,Lead,Flash,Sport,,60,2300
2023-08-18,"The Nose",5.10b,"Swung leads with Jason. He fell at the crux move on P3, and I had a fall in the steep crack of P4. ",https://www.mountainproject.com/route/106540405/the-nose,7,"Colorado > Estes Park Valley > Lumpy Ridge > Sundance Buttress",3.2,-1,Lead,Fell/Hung,Trad,,1050,2900
2023-08-13,"Classic Finger Crack",5.9,"Jason had placed the gear",https://www.mountainproject.com/route/105748169/classic-finger-crack,1,"Colorado > Boulder > Boulder Canyon > Elephant Buttresses > Second Buttress",2.7,-1,Lead,Flash,Trad,,,2400
2023-08-13,"Tough Situation",5.10a,"Took a few tries to get the roof, but it went!",https://www.mountainproject.com/route/105748163/tough-situation,1,"Colorado > Boulder > Boulder Canyon > Elephant Buttresses > Second Buttress",2.6,-1,Lead,Fell/Hung,Trad,,60,2600
2023-08-06,"The Yellow Spur",5.9+,,https://www.mountainproject.com/route/105748657/the-yellow-spur,6,"Colorado > Boulder > Eldorado Canyon State Park > Redgarden Wall > Redgarden - Tower One",3.7,-1,Lead,Onsight,Trad,,,2500
2023-08-05,"Slim Pickens",5.10,"Swung leads with Jason. Got off route at the end but found the summit. ",https://www.mountainproject.com/route/105762825/slim-pickens,4,"Colorado > Estes Park Valley > Lumpy Ridge > Sundance Buttress",3.3,-1,Lead,Onsight,Trad,,700,3000
2023-07-09,"The Young and the Rackless",5.9,,https://www.mountainproject.com/route/105762150/the-young-and-the-rackless,3,"Colorado > Boulder > Boulder Canyon > Blob Rock Area > East Blob > Upper East Face",3.0,-1,Lead,Onsight,Sport,,300,2400
2023-07-02,"Gondolier Arete",5.10a,,https://www.mountainproject.com/route/106210217/gondolier-arete,1,"Colorado > Golden > Clear Creek Canyon > The Canal Zone",2.4,-1,Lead,Onsight,Sport,,55,2600
2023-07-02,"Panama Red",5.10-,,https://www.mountainproject.com/route/106210200/panama-red,1,"Colorado > Golden > Clear Creek Canyon > The Canal Zone",2.8,-1,Lead,Onsight,Sport,,50,2700
2023-06-24,Gambit,5.8,"Logan took P1 - adventure start, right of the standard start. 
Led to the summit from here. End of P2 took me to the belay ledge after the dihedral and “roof” move. Gained the summit in P3 from here, nearly maxing out the 70m rope. ",https://www.mountainproject.com/route/105751960/gambit,3,"Colorado > Boulder > Eldorado Canyon State Park > Shirt Tail Peak",3.6,-1,Lead,Onsight,Trad,,,2100
2023-06-12,"Playin' Hooky",5.8,,https://www.mountainproject.com/route/106701638/playin-hooky,4,"Colorado > Golden > Clear Creek Canyon > Creek Side",3.3,-1,Lead,Onsight,Sport,,400,2100
2023-06-08,"Bailey's Overhang",5.8,,https://www.mountainproject.com/route/105748708/baileys-overhang,1,"Colorado > Boulder > Boulder Canyon > Castle Rock",2.6,-1,Lead,Onsight,Trad,,90,2100
2023-03-12,Freeway,5.0,,https://www.mountainproject.com/route/105752023/freeway,6,"Colorado > Boulder > Flatirons > North > Second Flatiron",3.4,-1,Solo,,Trad,,600,1000
2022-08-22,"Mountaineer Route","5.9- PG13","Chossy adventure climbing but lots of fun!",https://www.mountainproject.com/route/111847739/mountaineer-route,4,"Colorado > Gunnison > Spring Creek > Expedition Buttress",2.0,-1,Lead,Onsight,Trad,,450,2300
2022-08-20,"Mountaineer's Route",5.8,"Swung leads with Walker. Sweet route!",https://www.mountainproject.com/route/106562936/mountaineers-route,4,"Colorado > Gunnison > Spring Creek > Spring Creek Tower",2.9,-1,Lead,Onsight,Trad,,400,2100
2021-10-31,"Left Hand Crack",5.8+,"One hangdog at the crux. I feel good about a clean send with some proper crack technique next time!",https://www.mountainproject.com/route/105763875/left-hand-crack,1,"Colorado > Gunnison > Taylor Canyon > First Buttress > Left Hand",3.4,-1,Lead,Fell/Hung,Trad,,,2200
2021-07-26,"The Good, The Bad, and The Ugly",5.10-,,https://www.mountainproject.com/route/107177626/the-good-the-bad-and-the-ugly,3,"Colorado > Gunnison > Taylor Canyon > Gunnison Mountain Park Picnic Area",3.5,-1,Lead,Onsight,Sport,,235,2700
2021-07-24,"Dunn's Dihedral",5.8,,https://www.mountainproject.com/route/106254491/dunns-dihedral,2,"Colorado > Gunnison > Taylor Canyon > First Buttress > The Upper Wall",3.0,-1,Lead,Redpoint,Trad,,170,2100
2021-07-07,"The Worm Hole",5.7,,https://www.mountainproject.com/route/113482175/the-worm-hole,1,"Colorado > Gunnison > Hartman Rocks > The Corridor",2.5,-1,Lead,Redpoint,"Trad, TR",,50,1800
2021-07-01,"Tony's Tango",5.6,,https://www.mountainproject.com/route/105854222/tonys-tango,1,"Colorado > Gunnison > Taylor Canyon > First Buttress > Baby Face / Middle Wall",2.8,-1,Lead,Redpoint,Trad,,90,1600
2021-06-05,"King Me",5.10a,,https://www.mountainproject.com/route/106035588/king-me,3,"Colorado > Gunnison > Black Canyon of the Gunnison > North Rim Routes > The Checkerboard Wall",3.0,-1,Follow,,Trad,,325,2600
2021-06-05,"The Maiden Voyage aka The Red Dihedral",5.9-,,https://www.mountainproject.com/route/105750415/the-maiden-voyage-aka-the-red-dihedral,5,"Colorado > Gunnison > Black Canyon of the Gunnison > North Rim Routes > The Checkerboard Wall",3.0,-1,Follow,,Trad,,,2300
2021-06-03,"13 Bolt (Ride Hard, Die Free)",5.10-,,https://www.mountainproject.com/route/112244126/13-bolt-ride-hard-die-free,1,"Colorado > Gunnison > Spring Creek > 13 Bolt Wall",3.4,-1,Follow,,Sport,,130,2700
2021-06-03,"Poker in the Rear",5.9,,https://www.mountainproject.com/route/119781788/poker-in-the-rear,1,"Colorado > Gunnison > Spring Creek > Roadside Crag",2.4,-1,Follow,,Trad,,90,2400
2021-05-30,"South Face","5.7 C0",,https://www.mountainproject.com/route/105717562/south-face,3,"Utah > Southeast Utah > Indian Creek > South Sixshooter",2.8,-1,Follow,,"Trad, Aid",,,1800
2021-05-29,"North Ridge",5.7,,https://www.mountainproject.com/route/113888683/north-ridge,4,"Utah > Southeast Utah > Lost World  Butte Area > The Sphinx",2.0,-1,Follow,,Trad,,250,1800
2021-05-06,"Tony's Tango",5.6,,https://www.mountainproject.com/route/105854222/tonys-tango,1,"Colorado > Gunnison > Taylor Canyon > First Buttress > Baby Face / Middle Wall",2.8,-1,Follow,,Trad,,90,1600
2020-12-06,"The Lounge",V0-1,"Bouldering is hard",https://www.mountainproject.com/route/107749351/the-lounge,1,"Colorado > Grand Junction Area > Dynamite Shacks > Main Area > After Burner Boulder",2.0,1,Solo,,Boulder,V1-,8,20050
2020-12-05,"Joe 97 (right)",V1,,https://www.mountainproject.com/route/106061282/joe-97-right,1,"Colorado > Grand Junction Area > Dynamite Shacks > Main Area > Joe 97 Boulder",2.0,1,Solo,,Boulder,V1-,,20100
